Support Rep	InvoiceId	CustomerId	InvoiceDate	BillingAddress	BillingCity	BillingState	BillingCountry	BillingPostalCode	Total
Steve Johnson	252	11	2012-01-22 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	1.98
Margaret Park	253	13	2012-01-22 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	1.98
Jane Peacock	254	15	2012-01-23 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	3.96
Jane Peacock	255	19	2012-01-24 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	5.94
Steve Johnson	256	25	2012-01-27 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	8.91
Margaret Park	257	34	2012-02-01 00:00:00	Rua da Assunção 53	Lisbon		Portugal		13.86
Steve Johnson	258	48	2012-02-09 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	0.99
Margaret Park	259	49	2012-02-22 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	1.98
Steve Johnson	260	51	2012-02-22 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	1.98
Jane Peacock	261	53	2012-02-23 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	3.96
Steve Johnson	262	57	2012-02-24 00:00:00	Calle Lira, 198	Santiago		Chile		5.94
Margaret Park	263	4	2012-02-27 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	8.91
Margaret Park	264	13	2012-03-03 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	13.86
Margaret Park	265	27	2012-03-11 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	0.99
Steve Johnson	266	28	2012-03-24 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	1.98
Jane Peacock	267	30	2012-03-24 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	1.98
Margaret Park	268	32	2012-03-25 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	3.96
Steve Johnson	269	36	2012-03-26 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	5.94
Jane Peacock	270	42	2012-03-29 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	8.91
Steve Johnson	271	51	2012-04-03 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	13.86
Steve Johnson	272	6	2012-04-11 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	0.99
Steve Johnson	273	7	2012-04-24 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	1.98
Margaret Park	274	9	2012-04-24 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	1.98
Steve Johnson	275	11	2012-04-25 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	3.96
Jane Peacock	276	15	2012-04-26 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	5.94
Steve Johnson	277	21	2012-04-29 00:00:00	801 W 4th Street	Reno	NV	USA	89503	8.91
Jane Peacock	278	30	2012-05-04 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	13.86
Jane Peacock	279	44	2012-05-12 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	0.99
Jane Peacock	280	45	2012-05-25 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	1.98
Steve Johnson	281	47	2012-05-25 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	1.98
Margaret Park	282	49	2012-05-26 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	3.96
Jane Peacock	283	53	2012-05-27 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	5.94
Jane Peacock	284	59	2012-05-30 00:00:00	3,Raj Bhavan Road	Bangalore		India	560001	8.91
Margaret Park	285	9	2012-06-04 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	13.86
Margaret Park	286	23	2012-06-12 00:00:00	69 Salem Street	Boston	MA	USA	2113	0.99
Jane Peacock	287	24	2012-06-25 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	1.98
Margaret Park	288	26	2012-06-25 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	1.98
Steve Johnson	289	28	2012-06-26 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	3.96
Margaret Park	290	32	2012-06-27 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	5.94
Jane Peacock	291	38	2012-06-30 00:00:00	Barbarossastraße 19	Berlin		Germany	10779	8.91
Steve Johnson	292	47	2012-07-05 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	13.86
Steve Johnson	293	2	2012-07-13 00:00:00	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174	0.99
Jane Peacock	294	3	2012-07-26 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	1.98
Margaret Park	295	5	2012-07-26 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	1.98
Steve Johnson	296	7	2012-07-27 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	3.96
Steve Johnson	297	11	2012-07-28 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	5.94
Steve Johnson	298	17	2012-07-31 00:00:00	1 Microsoft Way	Redmond	WA	USA	98052-8300	10.91
Margaret Park	299	26	2012-08-05 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	23.86
Margaret Park	300	40	2012-08-13 00:00:00	8, Rue Hanovre	Paris		France	75002	0.99
Steve Johnson	301	41	2012-08-26 00:00:00	11, Place Bellecour	Lyon		France	69002	1.98
Jane Peacock	302	43	2012-08-26 00:00:00	68, Rue Jouvence	Dijon		France	21000	1.98
Jane Peacock	303	45	2012-08-27 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	3.96
Margaret Park	304	49	2012-08-28 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	5.94
Margaret Park	305	55	2012-08-31 00:00:00	421 Bourke Street	Sidney	NSW	Australia	2010	8.91
Margaret Park	306	5	2012-09-05 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	16.86
Jane Peacock	307	19	2012-09-13 00:00:00	1 Infinite Loop	Cupertino	CA	USA	95014	1.99
Margaret Park	308	20	2012-09-26 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	3.98
Margaret Park	309	22	2012-09-26 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	3.98
Jane Peacock	310	24	2012-09-27 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	7.96
Steve Johnson	311	28	2012-09-28 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	11.94
Margaret Park	312	34	2012-10-01 00:00:00	Rua da Assunção 53	Lisbon		Portugal		10.91
Jane Peacock	313	43	2012-10-06 00:00:00	68, Rue Jouvence	Dijon		France	21000	16.86
Steve Johnson	314	57	2012-10-14 00:00:00	Calle Lira, 198	Santiago		Chile		0.99
Jane Peacock	315	58	2012-10-27 00:00:00	12,Community Centre	Delhi		India	110017	1.98
Jane Peacock	316	1	2012-10-27 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	1.98
Jane Peacock	317	3	2012-10-28 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	3.96
Steve Johnson	318	7	2012-10-29 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	5.94
Margaret Park	319	13	2012-11-01 00:00:00	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677	8.91
Margaret Park	320	22	2012-11-06 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	13.86
Steve Johnson	321	36	2012-11-14 00:00:00	Tauentzienstraße 8	Berlin		Germany	10789	0.99
Jane Peacock	322	37	2012-11-27 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	1.98
Margaret Park	323	39	2012-11-27 00:00:00	4, Rue Milton	Paris		France	75009	1.98
Steve Johnson	324	41	2012-11-28 00:00:00	11, Place Bellecour	Lyon		France	69002	3.96
Jane Peacock	325	45	2012-11-29 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	5.94
Steve Johnson	326	51	2012-12-02 00:00:00	Celsiusg. 9	Stockholm		Sweden	11230	8.91
Jane Peacock	327	1	2012-12-07 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	13.86
Jane Peacock	328	15	2012-12-15 00:00:00	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8	0.99
Margaret Park	329	16	2012-12-28 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	1.98
Jane Peacock	330	18	2012-12-28 00:00:00	627 Broadway	New York	NY	USA	10012-2612	1.98
Margaret Park	331	20	2012-12-29 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	3.96
Jane Peacock	332	24	2012-12-30 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	5.94
Jane Peacock	333	30	2013-01-02 00:00:00	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7	8.91
Margaret Park	334	39	2013-01-07 00:00:00	4, Rue Milton	Paris		France	75009	13.86
Jane Peacock	335	53	2013-01-15 00:00:00	113 Lupus St	London		United Kingdom	SW1V 3EN	0.99
Steve Johnson	336	54	2013-01-28 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	1.98
Margaret Park	337	56	2013-01-28 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	1.98
Jane Peacock	338	58	2013-01-29 00:00:00	12,Community Centre	Delhi		India	110017	3.96
Jane Peacock	339	3	2013-01-30 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	5.94
Margaret Park	340	9	2013-02-02 00:00:00	Sønder Boulevard 51	Copenhagen		Denmark	1720	8.91
Jane Peacock	341	18	2013-02-07 00:00:00	627 Broadway	New York	NY	USA	10012-2612	13.86
Margaret Park	342	32	2013-02-15 00:00:00	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9	0.99
Jane Peacock	343	33	2013-02-28 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	1.98
Margaret Park	344	35	2013-02-28 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		1.98
Jane Peacock	345	37	2013-03-01 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	3.96
Steve Johnson	346	41	2013-03-02 00:00:00	11, Place Bellecour	Lyon		France	69002	5.94
Steve Johnson	347	47	2013-03-05 00:00:00	Via Degli Scipioni, 43	Rome	RM	Italy	00192	8.91
Margaret Park	348	56	2013-03-10 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	13.86
Steve Johnson	349	11	2013-03-18 00:00:00	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200	0.99
Jane Peacock	350	12	2013-03-31 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	1.98
Steve Johnson	351	14	2013-03-31 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	1.98
Margaret Park	352	16	2013-04-01 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	3.96
Margaret Park	353	20	2013-04-02 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	5.94
Margaret Park	354	26	2013-04-05 00:00:00	2211 W Berry Street	Fort Worth	TX	USA	76110	8.91
Margaret Park	355	35	2013-04-10 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		13.86
Margaret Park	356	49	2013-04-18 00:00:00	Ordynacka 10	Warsaw		Poland	00-358	0.99
Steve Johnson	357	50	2013-05-01 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	1.98
Jane Peacock	358	52	2013-05-01 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	1.98
Steve Johnson	359	54	2013-05-02 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	3.96
Jane Peacock	360	58	2013-05-03 00:00:00	12,Community Centre	Delhi		India	110017	5.94
Margaret Park	361	5	2013-05-06 00:00:00	Klanova 9/506	Prague		Czech Republic	14700	8.91
Steve Johnson	362	14	2013-05-11 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	13.86
Steve Johnson	363	28	2013-05-19 00:00:00	302 S 700 E	Salt Lake City	UT	USA	84102	0.99
Jane Peacock	364	29	2013-06-01 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	1.98
Steve Johnson	365	31	2013-06-01 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	1.98
Jane Peacock	366	33	2013-06-02 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	3.96
Jane Peacock	367	37	2013-06-03 00:00:00	Berger Straße 10	Frankfurt		Germany	60316	5.94
Jane Peacock	368	43	2013-06-06 00:00:00	68, Rue Jouvence	Dijon		France	21000	8.91
Jane Peacock	369	52	2013-06-11 00:00:00	202 Hoxton Street	London		United Kingdom	N1 5LH	13.86
Steve Johnson	370	7	2013-06-19 00:00:00	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010	0.99
Margaret Park	371	8	2013-07-02 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	1.98
Margaret Park	372	10	2013-07-02 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	1.98
Jane Peacock	373	12	2013-07-03 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	3.96
Margaret Park	374	16	2013-07-04 00:00:00	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351	5.94
Margaret Park	375	22	2013-07-07 00:00:00	120 S Orange Ave	Orlando	FL	USA	32801	8.91
Steve Johnson	376	31	2013-07-12 00:00:00	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5	13.86
Jane Peacock	377	45	2013-07-20 00:00:00	Erzsébet krt. 58.	Budapest		Hungary	H-1073	0.99
Jane Peacock	378	46	2013-08-02 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		1.98
Steve Johnson	379	48	2013-08-02 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	1.98
Steve Johnson	380	50	2013-08-03 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	3.96
Steve Johnson	381	54	2013-08-04 00:00:00	110 Raeburn Pl	Edinburgh 		United Kingdom	EH4 1HH	5.94
Jane Peacock	382	1	2013-08-07 00:00:00	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000	8.91
Margaret Park	383	10	2013-08-12 00:00:00	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010	13.86
Jane Peacock	384	24	2013-08-20 00:00:00	162 E Superior Street	Chicago	IL	USA	60611	0.99
Steve Johnson	385	25	2013-09-02 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	1.98
Margaret Park	386	27	2013-09-02 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	1.98
Jane Peacock	387	29	2013-09-03 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	3.96
Jane Peacock	388	33	2013-09-04 00:00:00	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6	5.94
Margaret Park	389	39	2013-09-07 00:00:00	4, Rue Milton	Paris		France	75009	8.91
Steve Johnson	390	48	2013-09-12 00:00:00	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016	13.86
Jane Peacock	391	3	2013-09-20 00:00:00	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7	0.99
Margaret Park	392	4	2013-10-03 00:00:00	Ullevålsveien 14	Oslo		Norway	0171	1.98
Steve Johnson	393	6	2013-10-03 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	1.98
Margaret Park	394	8	2013-10-04 00:00:00	Grétrystraat 63	Brussels		Belgium	1000	3.96
Jane Peacock	395	12	2013-10-05 00:00:00	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020	5.94
Jane Peacock	396	18	2013-10-08 00:00:00	627 Broadway	New York	NY	USA	10012-2612	8.91
Margaret Park	397	27	2013-10-13 00:00:00	1033 N Park Ave	Tucson	AZ	USA	85719	13.86
Steve Johnson	398	41	2013-10-21 00:00:00	11, Place Bellecour	Lyon		France	69002	0.99
Jane Peacock	399	42	2013-11-03 00:00:00	9, Place Louis Barthou	Bordeaux		France	33000	1.98
Jane Peacock	400	44	2013-11-03 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	1.98
Jane Peacock	401	46	2013-11-04 00:00:00	3 Chatham Street	Dublin	Dublin	Ireland		3.96
Steve Johnson	402	50	2013-11-05 00:00:00	C/ San Bernardo 85	Madrid		Spain	28015	5.94
Margaret Park	403	56	2013-11-08 00:00:00	307 Macacha Güemes	Buenos Aires		Argentina	1106	8.91
Steve Johnson	404	6	2013-11-13 00:00:00	Rilská 3174/6	Prague		Czech Republic	14300	25.86
Margaret Park	405	20	2013-11-21 00:00:00	541 Del Medio Avenue	Mountain View	CA	USA	94040-111	0.99
Steve Johnson	406	21	2013-12-04 00:00:00	801 W 4th Street	Reno	NV	USA	89503	1.98
Margaret Park	407	23	2013-12-04 00:00:00	69 Salem Street	Boston	MA	USA	2113	1.98
Steve Johnson	408	25	2013-12-05 00:00:00	319 N. Frances Street	Madison	WI	USA	53703	3.96
Jane Peacock	409	29	2013-12-06 00:00:00	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1	5.94
Margaret Park	410	35	2013-12-09 00:00:00	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal		8.91
Jane Peacock	411	44	2013-12-14 00:00:00	Porthaninkatu 9	Helsinki		Finland	00530	13.86
Jane Peacock	412	58	2013-12-22 00:00:00	12,Community Centre	Delhi		India	110017	1.99
